prune-prop,n-mip-trees,mip-prune-test-fidelity,random-prune-test-fidelity,greedy-prune-test-fidelity,mip-prune-train-fidelity,random-prune-train-fidelity,greedy-prune-train-fidelity,mip-prune-grid-fidelity,random-prune-grid-fidelity,greedy-prune-grid-fidelity,mip-time
0.1,3.0,0.8109999999999999,0.7929999999999999,0.807,0.943,0.94375,0.9414999999999999,0.63952,0.6556200000000001,0.65654,0.46932711601257326
0.2,3.0,0.836,0.806,0.8119999999999999,0.95175,0.9407500000000001,0.944,0.65408,0.63694,0.63918,0.8354851245880127
0.3,4.4,0.7769999999999999,0.798,0.791,0.97425,0.9505000000000001,0.9620000000000001,0.6274599999999999,0.62686,0.5972,7.6238524436950685
0.4,4.8,0.828,0.8160000000000001,0.844,0.9792500000000001,0.969,0.96775,0.64648,0.6316200000000001,0.64332,14.803153610229492
0.5,5.0,0.85,0.827,0.8320000000000001,0.98425,0.9657499999999999,0.9702500000000001,0.68076,0.67108,0.6735,18.98561873435974
0.6,5.0,0.825,0.842,0.836,0.9897500000000001,0.96175,0.97,0.6423,0.64652,0.6668000000000001,26.094524240493776
0.7000000000000001,5.8,0.8099999999999999,0.8210000000000001,0.8160000000000001,0.99125,0.9754999999999999,0.978,0.63392,0.6315999999999999,0.6098,46.24930825233459
0.8,5.8,0.8160000000000001,0.8099999999999999,0.805,0.9942500000000001,0.978,0.9807499999999999,0.62456,0.63298,0.62174,56.723607540130615
0.9,6.4,0.8240000000000001,0.853,0.827,0.998,0.9772500000000001,0.9814999999999999,0.6486,0.6372,0.64616,108.26632242202759
1.0,6.6,0.853,0.828,0.853,1.0,0.9804999999999999,0.98275,0.6675,0.65716,0.6580600000000001,125.22857794761657
