dataset,index,train-acc,test-acc,nt,time
Pima-Diabetes,1,1.0,0.6883116883116883,7,9.870769500732422
Pima-Diabetes,2,1.0,0.7402597402597403,7,9.61168885231018
Pima-Diabetes,3,1.0,0.7012987012987013,7,9.114024639129639
Pima-Diabetes,4,1.0,0.6753246753246753,7,8.821837425231934
Pima-Diabetes,5,1.0,0.7662337662337663,7,10.156264305114746
Pima-Diabetes,6,1.0,0.6103896103896104,7,9.806578874588013
Pima-Diabetes,7,1.0,0.7662337662337663,7,8.989200830459595
Pima-Diabetes,8,1.0,0.7922077922077922,7,9.25495719909668
Pima-Diabetes,9,1.0,0.631578947368421,7,9.233705759048462
Pima-Diabetes,10,1.0,0.7763157894736842,7,8.688005685806274
Adult-Income,1,0.9651431034045681,0.8045164233576643,76,944.421288728714
Adult-Income,2,0.9643581423646319,0.8199863107460643,90,943.9859969615936
Adult-Income,3,0.9642820928817684,0.8240930869267625,84,944.7690014839172
Adult-Income,4,0.9643327925370108,0.811772758384668,88,944.1273148059845
Adult-Income,5,0.9644848915027378,0.8126853753137121,78,945.4866726398468
Adult-Income,6,0.9646116406408436,0.8135979922427561,64,944.6895399093628
Adult-Income,7,0.9650425877104035,0.810403832991102,72,943.2001857757568
Adult-Income,8,0.9643581423646319,0.8163358430298882,80,943.6282615661621
Adult-Income,9,0.9642820928817684,0.8142824549395391,84,944.5927407741547
Adult-Income,10,0.9647383897789495,0.8090349075975359,70,944.5160820484161
HTRU2,1,0.991805314129625,0.9798882681564246,13,202.80839705467224
HTRU2,2,0.9916190712689347,0.9782122905027933,13,242.2200951576233
HTRU2,3,0.9919915569903154,0.9754189944134078,13,221.12177395820618
HTRU2,4,0.9923019617581326,0.9692737430167597,13,392.4011571407318
HTRU2,5,0.9916811522224981,0.9815642458100559,15,336.3228576183319
HTRU2,6,0.9914328284082443,0.9787709497206704,13,176.70227527618408
HTRU2,7,0.9919915569903154,0.9726256983240223,11,144.06537628173828
HTRU2,8,0.9919915569903154,0.9720670391061452,13,247.61201930046082
HTRU2,9,0.9920541312309888,0.9748462828395752,11,152.35593819618225
HTRU2,10,0.9919299770314731,0.9742873113471213,13,189.32288885116577
COMPAS-ProPublica,1,0.6801801801801802,0.6512301013024602,3,53.652437925338745
COMPAS-ProPublica,2,0.6787323037323038,0.6642547033285094,4,53.80932378768921
COMPAS-ProPublica,3,0.6756756756756757,0.6874095513748191,3,53.69670367240906
COMPAS-ProPublica,4,0.6838803088803089,0.6164978292329957,3,53.68982815742493
COMPAS-ProPublica,5,0.6772844272844273,0.6671490593342981,3,53.75776982307434
COMPAS-ProPublica,6,0.678088803088803,0.6657018813314037,3,53.528430223464966
COMPAS-ProPublica,7,0.6734234234234234,0.7062228654124457,3,53.766417264938354
COMPAS-ProPublica,8,0.6747627473057745,0.6956521739130435,3,53.653748989105225
COMPAS-ProPublica,9,0.6805533215377192,0.6492753623188405,3,53.61491131782532
COMPAS-ProPublica,10,0.6737976516004504,0.7014492753623188,4,53.71237564086914
FICO,1,0.7898650802082227,0.6826003824091779,34,690.6411399841309
FICO,2,0.7916710931690215,0.6673040152963671,32,689.0042910575867
FICO,3,0.7898650802082227,0.6816443594646272,28,688.8849391937256
FICO,4,0.7894401359821523,0.6978967495219885,30,689.0039887428284
FICO,5,0.78646552639966,0.7237093690248566,32,691.2508590221405
FICO,6,0.7888027196430468,0.6950286806883366,30,691.1359808444977
FICO,7,0.790290024434293,0.6883365200764818,30,690.802698135376
FICO,8,0.7888027196430468,0.6845124282982792,34,688.7962410449982
FICO,9,0.7885902475300117,0.7017208413001912,34,691.440765619278
FICO,10,0.7880815806246017,0.6899521531100479,30,689.7693226337433
Breast-Cancer-Wisconsin,1,1.0,0.9420289855072463,3,5.42059063911438
Breast-Cancer-Wisconsin,2,1.0,0.8985507246376812,3,5.387999534606934
Breast-Cancer-Wisconsin,3,1.0,0.9420289855072463,3,5.319576978683472
Breast-Cancer-Wisconsin,4,1.0,0.9411764705882353,3,5.370097398757935
Breast-Cancer-Wisconsin,5,1.0,0.9705882352941176,3,5.349983215332031
Breast-Cancer-Wisconsin,6,1.0,0.9705882352941176,3,5.3343825340271
Breast-Cancer-Wisconsin,7,1.0,0.9411764705882353,3,5.339452505111694
Breast-Cancer-Wisconsin,8,1.0,0.9558823529411765,3,5.367314100265503
Breast-Cancer-Wisconsin,9,1.0,0.9264705882352942,3,5.32426118850708
Breast-Cancer-Wisconsin,10,1.0,0.9852941176470589,3,5.343299865722656
Seeds,1,1.0,0.8571428571428571,3,1.97210693359375
Seeds,2,1.0,0.9047619047619048,3,1.9890477657318115
Seeds,3,1.0,0.8571428571428571,2,1.9931015968322754
Seeds,4,1.0,0.8571428571428571,3,2.068835496902466
Seeds,5,1.0,0.8571428571428571,3,2.0267324447631836
Seeds,6,1.0,0.8571428571428571,3,2.003788709640503
Seeds,7,1.0,0.9523809523809523,3,1.9879608154296875
Seeds,8,1.0,0.9047619047619048,3,2.016068935394287
Seeds,9,1.0,0.9523809523809523,3,1.98933744430542
Seeds,10,1.0,1.0,3,2.0226802825927734
